TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:01:39,000","-20.2532","149.0251","1501953209000","-20.252499999999998","149.02411249999997","16","66.55","100","60","2.2","30.88164533991194","14.80499999999999","34.247102708113935","293.65696556143257","123","456","Prop added in a second instance","mavic_pro"
"00:01:40,000","-20.2532","149.0251","1501953210000","-20.252449999999996","149.02406249999999","16","70.7","100","60","2.2","27.475325399722475","14.940000000000023","31.274544054560344","302.34433890992153","123","456","Prop added in a second instance","mavic_pro"
"00:01:41,000","-20.2532","149.0251","1501953211000","-20.2524125","149.0240125","16","74.7375","100","60","2.2","24.067336649076243","14.534999999999979","28.115883738199802","310.15430661497703","123","456","Prop added in a second instance","mavic_pro"
"00:01:42,000","-20.2532","149.0251","1501953212000","-20.252375","149.02397499999998","16","78.7875","100","60","2.2","20.60649910088815","14.57999999999999","25.242904056286864","317.16622440839006","123","456","Prop added in a second instance","mavic_pro"
"00:01:43,000","-20.2532","149.0251","1501953213000","-20.25235","149.02394999999999","16","82.8125","100","60","2.2","13.737667358958527","14.490000000000022","19.96706299046996","322.7126307946317","123","456","Prop added in a second instance","mavic_pro"
"00:01:44,000","-20.2532","149.0251","1501953214000","-20.252325000000003","149.023925","16","86.7625","100","60","2.2","13.737668393380746","14.220000000000011","19.771998707426942","328.2048526578059","123","456","Prop added in a second instance","mavic_pro"
"00:01:45,000","-20.2532","149.0251","1501953215000","-20.252312500000002","149.0239125","16","90.69999999999999","100","60","2.2","6.868834581674239","14.174999999999951","15.75155590760489","332.5802848543628","123","456","Prop added in a second instance","mavic_pro"
"00:01:46,000","-20.2532","149.0251","1501953216000","-20.2523","149.0239","15","94.62499999999999","100","60","2.2","6.868834847986731","14.12999999999999","15.71107227941227","336.944471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:47,000","-20.2532","149.0251","1501953217000","-20.2523","149.0239","16","98.5375","100","60","2.2","0","14.085000000000031","14.085000000000031","340.856971598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:48,000","-20.2532","149.0251","1501953218000","-20.2523","149.0239","16","102.3","100","60","2.2","0","13.54500000000001","13.54500000000001","344.619471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:49,000","-20.2532","149.0251","1501953219000","-20.2523","149.0239","16","105.9","100","60","2.2","0","12.960000000000031","12.960000000000031","348.219471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:50,000","-20.2532","149.0251","1501953220000","-20.2523","149.0239","16","109.075","100","60","2.2","0","11.42999999999999","11.42999999999999","351.39447159864403","123","456","Prop added in a second instance","mavic_pro"
